Data,d3_mean,month_std,lag1d,day_of_week,season,trend,seasonal
2022-01-01,,,,5,0,18.61610117234338,-13.957708871180039
2022-01-02,4.934921,,4.934921,6,0,19.03532521720153,-9.530361483655913
2022-01-03,7.6382414999999995,3.8230725145412165,10.341562,0,0,19.422522345172812,-10.30557265025176
2022-01-04,6.761277,3.1008292323991333,5.007348,1,0,19.770425269173625,-5.452575625961259
2022-01-05,8.345668,2.924321982421381,9.688094,2,0,20.073551173510566,-13.102990646954119
2022-01-06,6.8699726666666665,2.62908350143357,5.914476,3,0,20.329351199614994,-11.656837976420382
2022-01-07,7.202586333333333,2.3997146377978082,6.005189,4,0,20.537926832083073,-3.9598155173514424
2022-01-08,8.545272333333333,3.358182625665179,13.716152,5,0,20.704099025645956,-3.3538241293521347
2022-01-09,13.014566,5.084271393314735,19.322357,6,0,20.8411007627401,5.3847084671729775
2022-01-10,22.315941,9.46296101724058,33.909314,0,0,20.974739382732867,13.427329189436696
2022-01-11,32.10086233333333,13.249881557398092,43.070916,1,0,21.14433462986785,29.954730719049223
2022-01-12,46.983676,19.347311675911442,63.970798,2,0,21.34009671428337,10.938553197119822
2022-01-13,46.136736000000006,18.75582304597791,31.368494,3,0,20.646327387429892,-9.609402500726624
2022-01-14,35.124031333333335,18.19511512191977,10.032802,4,0,19.55047633992316,-7.1990469267160115
2022-01-15,17.241471666666666,17.66348613038769,10.323119,5,0,18.17146211246574,-7.349794866736041
2022-01-16,11.363280666666668,17.077566867631074,13.733921,6,0,16.667120031842344,-4.66935938306262
2022-01-17,14.562609666666667,16.49994656089634,19.630789,0,0,15.171522459104958,-9.49465060746058
2022-01-18,12.700019,16.33666061989868,4.735347,1,0,13.792669244938834,-8.899702074422903
2022-01-19,10.680147,16.034049882265105,7.674305,2,0,12.598105182615086,-2.0656224608909137
2022-01-20,8.224660333333334,15.626948142436243,12.264329,3,0,11.619773261025463,-1.9719365208816093
2022-01-21,7.970618666666667,15.492446767082136,3.973222,4,0,10.834483558761391,3.1303466920176155
2022-01-22,6.809494333333333,15.336479984965882,4.190932,5,0,10.197221609559913,9.441935988681628
2022-01-23,4.632453333333333,15.122882474829513,5.733206,6,0,9.656308112800634,19.868925982163056
2022-01-24,8.569532666666666,14.775364537490528,15.78446,0,0,9.2104588775787,8.343278605216652
2022-01-25,16.492022666666667,14.674462659958325,27.958402,1,0,8.905462723384037,-5.195238183678359
2022-01-26,17.03627433333333,14.46819503887077,7.365961,2,0,8.75433258753467,-4.922710857208635
2022-01-27,14.012374666666666,14.283246872131752,6.712761,3,0,8.7071290934768,-4.8560951422292655
2022-01-28,7.378007,14.074781268204404,8.055299,4,0,8.706348248157584,-4.005561651166806
2022-01-29,5.491151666666667,14.038858677810722,1.705395,5,0,8.720913065181007,-6.155359470817428
2022-01-30,5.581860333333334,13.857091290742922,6.984887,6,0,8.716012653514511,-6.361120725277802
2022-01-31,4.172787666666667,13.749137615994446,3.828081,0,0,8.656092503445315,-0.42482086722853946
2022-02-01,7.855784333333333,13.646444600428682,12.754385,1,0,8.533443154821915,-1.103006240007844
2022-02-02,8.714625,13.654775691946039,9.561409,2,0,8.377701886384845,0.6532552480280087
2022-02-03,8.805347666666666,13.676741965604904,4.100249,3,0,8.25875981027691,5.060158423726984
